nom_quartier,arrondissement,loyer_m2_median,taux_effort,score_affordability
Amérique,19,21.65714285714286,0.40169581346051936,2.6388044987676347
Archives,3,29.066666666666666,0.31722274191871946,6.03870511247107
Arsenal,4,30.0,0.34953395472703064,4.7382325446880955
Arts-et-Métiers,3,29.066666666666666,0.31722274191871946,6.03870511247107
Auteuil,16,25.8,0.23000509424350482,9.549070350107769
Batignolles,17,25.899999999999995,0.29721311475409834,6.844059321040468
Bel-Air,12,22.85142857142857,0.30101618366578853,6.690992123520443
Belleville,20,25.333333333333332,0.4500846023688664,0.6912362370352936
Bercy,12,22.833333333333332,0.30077781959603567,6.700585880823758
Bonne-Nouvelle,2,29.066666666666666,0.3258594917787743,5.6910902973157675
Chaillot,16,27.433333333333334,0.24456614026150447,8.963012469304136
Champs-Elysées,8,30.0,0.24676850763807287,8.87437084590241
Charonne,20,21.66774193548387,0.3849598821025053,3.312397896716403
Chaussée-d'Antin,9,30.0,0.30189764232317423,6.655514878813921
Clignancourt,18,24.766666666666666,0.4060109289617486,2.465128277777245
Combat,19,22.833333333333332,0.42351174704115885,1.7607494616351582
Croulebarbe,13,26.366666666666664,0.4217702620353443,1.8308413362640354
Ecole-Militaire,7,30.766666666666666,0.24709346795165976,8.861291733832397
Enfants-Rouges,3,29.066666666666666,0.31722274191871946,6.03870511247107
Epinettes,17,25.333333333333332,0.2907103825136612,7.105783476815617
Europe,8,27.433333333333334,0.22565609087348218,9.724110501446669
Faubourg-Montmartre,9,26.366666666666664,0.2653344834195898,8.12712120407605
Faubourg-du-Roule,8,30.0,0.24676850763807284,8.87437084590241
Folie-Méricourt,11,25.333333333333332,0.32839506172839505,5.589037824611045
Gaillon,2,30.0,0.336322869955157,5.26995673091418
Gare,13,21.666666666666668,0.3465874466788544,4.856824592288962
Goutte-d'Or,18,25.333333333333332,0.4153005464480875,2.091236626669887
Grandes-Carrières,18,24.766666666666666,0.4060109289617486,2.4651282777772456
Grenelle,15,25.8,0.3046558704453441,6.544500785042522
Gros-Caillou,7,30.766666666666666,0.2470934679516598,8.861291733832397
Halles,1,26.366666666666667,0.28429862394742245,7.363846093533494
Hôpital-Saint-Louis,10,25.333333333333332,0.33868092691622104,5.175048860716726
Invalides,7,30.766666666666666,0.24709346795165976,8.861291733832397
Jardin-des-Plantes,5,25.899999999999995,0.27361907636583155,7.7936801189099585
Javel,15,25.823728813559324,0.3049360689860244,6.533223259873496
La Chapelle,18,21.666666666666668,0.3551912568306011,4.510535545599844
Madeleine,8,29.95,0.24635722679200941,8.89092421581561
Mail,2,29.066666666666666,0.32585949177877427,5.6910902973157675
Maison-Blanche,13,25.16760563380282,0.4025896696449262,2.6028282742210496
Monnaie,6,30.0,0.26676829268292684,8.06941276628187
Montparnasse,14,26.366666666666667,0.3545268280189525,4.537277700031492
Muette,16,27.433333333333334,0.24456614026150453,8.963012469304136
Necker,15,27.333333333333332,0.32276203328834907,5.815757849120209
Notre-Dame,4,30.142857142857142,0.35119840213049264,4.671241305406505
Notre-Dame-des-Champs,6,30.766666666666666,0.27358570460704607,7.79502327668917
Odéon,6,30.0,0.26676829268292684,8.06941276628187
Palais-Royal,1,30.0,0.3234750462107209,5.787060265048687
Parc-de-Montsouris,14,25.333333333333332,0.340632603406326,5.096497128485999
Petit-Montrouge,14,25.9,0.3482520169035728,4.789828409656106
Picpus,12,24.76666666666667,0.3262451386275248,5.675568653153808
Place-Vendôme,1,30.0,0.3234750462107209,5.787060265048687
Plaine de Monceaux,17,27.313953488372093,0.3134388105223027,6.191002056835441
Plaisance,14,25.166666666666668,0.33839159943654756,5.1866938104947895
Pont-de-Flandre,19,21.64516129032258,0.4014735798417013,2.6477490322528556
Porte-Dauphine,16,27.433333333333334,0.24456614026150453,8.963012469304136
Porte-Saint-Denis,10,26.366666666666664,0.35249554367201424,4.619033516076892
Porte-Saint-Martin,10,25.333333333333332,0.33868092691622104,5.175048860716726
Père-Lachaise,20,22.833333333333332,0.405668358714044,2.4789161604024326
Quinze-Vingts,12,25.333333333333332,0.3337096976539957,5.375132569181581
Rochechouart,9,26.366666666666667,0.2653344834195898,8.12712120407605
Roquette,11,25.333333333333332,0.32839506172839505,5.589037824611045
Saint-Ambroise,11,25.9,0.33574074074074073,5.293386463457635
Saint-Fargeau,20,21.666666666666668,0.3849407783417936,3.3131667913070992
Saint-Georges,9,26.366666666666667,0.2653344834195898,8.12712120407605
Saint-Germain-des-Prés,6,30.0,0.26676829268292684,8.06941276628187
Saint-Germain-l'Auxerrois,1,30.0,0.3234750462107209,5.787060265048687
Saint-Gervais,4,29.066666666666666,0.3386595650244119,5.175908641327827
Saint-Lambert,15,24.98804347826087,0.29506798979052984,6.930397032538246
Saint-Merri,4,30.0,0.34953395472703064,4.7382325446880955
Saint-Thomas-d'Aquin,7,30.766666666666666,0.24709346795165976,8.861291733832397
Saint-Victor,5,29.066666666666666,0.3070731461917698,6.447209457241137
Saint-Vincent-de-Paul,10,26.40357142857143,0.352988922841864,4.599175825196899
Sainte-Avoie,3,29.066666666666666,0.31722274191871946,6.03870511247107
Sainte-Marguerite,11,25.9,0.33574074074074073,5.293386463457635
Salpêtrière,13,25.899999999999995,0.4143053016453382,2.131293574450908
Sorbonne,5,29.053846153846152,0.30693770461352715,6.452660755466517
Ternes,17,27.333333333333332,0.3136612021857923,6.182051162315088
Val-de-Grace,5,29.066666666666666,0.3070731461917698,6.447209457241137
Villette,19,21.653061224489797,0.4016201075024604,2.6418515376472156
Vivienne,2,29.066666666666666,0.32585949177877427,5.6910902973157675
