n_sq_ar,c_ar,c_arinsee,l_ar,l_aroff,n_sq_co,prix_m2_median,loyer_m2_median
750000012,12,75112,12ème Ardt,Reuilly,750001537,10171.88,29.1
750000012,12,75112,12ème Ardt,Reuilly,750001537,9542.42,29.9
750000012,12,75112,12ème Ardt,Reuilly,750001537,8942.18,31.0
750000002,2,75102,2ème Ardt,Bourse,750001537,12000.0,29.1
750000002,2,75102,2ème Ardt,Bourse,750001537,11636.13,29.9
750000002,2,75102,2ème Ardt,Bourse,750001537,11250.0,31.0
750000008,8,75108,8ème Ardt,Élysée,750001537,12977.1,30.1
750000008,8,75108,8ème Ardt,Élysée,750001537,12794.12,30.4
750000008,8,75108,8ème Ardt,Élysée,750001537,12019.23,31.8
750000020,20,75120,20ème Ardt,Ménilmontant,750001537,9417.48,26.6
750000020,20,75120,20ème Ardt,Ménilmontant,750001537,8833.33,27.3
750000020,20,75120,20ème Ardt,Ménilmontant,750001537,8285.71,28.4
750000003,3,75103,3ème Ardt,Temple,750001537,12611.11,29.1
750000003,3,75103,3ème Ardt,Temple,750001537,12250.0,29.9
750000003,3,75103,3ème Ardt,Temple,750001537,11803.92,31.0
750000010,10,75110,10ème Ardt,Entrepôt,750001537,10610.91,29.1
750000010,10,75110,10ème Ardt,Entrepôt,750001537,10000.0,29.9
750000010,10,75110,10ème Ardt,Entrepôt,750001537,9264.71,31.0
750000018,18,75118,18ème Ardt,Buttes-Montmartre,750001537,10087.5,29.1
750000018,18,75118,18ème Ardt,Buttes-Montmartre,750001537,9375.0,29.9
750000018,18,75118,18ème Ardt,Buttes-Montmartre,750001537,8750.0,31.0
750000001,1,75101,1er Ardt,Louvre,750001537,13211.5,29.1
750000001,1,75101,1er Ardt,Louvre,750001537,12880.0,29.9
750000001,1,75101,1er Ardt,Louvre,750001537,12327.9,31.0
750000016,16,75116,16ème Ardt,Passy,750001537,11900.0,30.1
750000016,16,75116,16ème Ardt,Passy,750001537,11447.37,30.4
750000016,16,75116,16ème Ardt,Passy,750001537,10881.92,31.8
750000019,19,75119,19ème Ardt,Buttes-Chaumont,750001537,9157.89,26.6
750000019,19,75119,19ème Ardt,Buttes-Chaumont,750001537,8729.41,27.3
750000019,19,75119,19ème Ardt,Buttes-Chaumont,750001537,7857.14,28.4
750000013,13,75113,13ème Ardt,Gobelins,750001537,9797.26,26.6
750000013,13,75113,13ème Ardt,Gobelins,750001537,9090.91,27.3
750000013,13,75113,13ème Ardt,Gobelins,750001537,8766.01,28.4
750000017,17,75117,17ème Ardt,Batignolles-Monceau,750001537,11377.98,29.1
750000017,17,75117,17ème Ardt,Batignolles-Monceau,750001537,10804.02,29.9
750000017,17,75117,17ème Ardt,Batignolles-Monceau,750001537,10119.05,31.0
750000009,9,75109,9ème Ardt,Opéra,750001537,11802.28,29.1
750000009,9,75109,9ème Ardt,Opéra,750001537,11385.0,29.9
750000009,9,75109,9ème Ardt,Opéra,750001537,10621.21,31.0
750000007,7,75107,7ème Ardt,Palais-Bourbon,750001537,15054.24,30.1
750000007,7,75107,7ème Ardt,Palais-Bourbon,750001537,14666.67,30.4
750000007,7,75107,7ème Ardt,Palais-Bourbon,750001537,13895.49,31.8
750000006,6,75106,6ème Ardt,Luxembourg,750001537,15055.52,30.1
750000006,6,75106,6ème Ardt,Luxembourg,750001537,15000.0,30.4
750000006,6,75106,6ème Ardt,Luxembourg,750001537,14551.28,31.8
750000015,15,75115,15ème Ardt,Vaugirard,750001537,10588.24,29.1
750000015,15,75115,15ème Ardt,Vaugirard,750001537,10000.0,29.9
750000015,15,75115,15ème Ardt,Vaugirard,750001537,9546.83,31.0
750000011,11,75111,11ème Ardt,Popincourt,750001537,11000.0,29.1
750000011,11,75111,11ème Ardt,Popincourt,750001537,10370.53,29.9
750000011,11,75111,11ème Ardt,Popincourt,750001537,9859.43,31.0
750000014,14,75114,14ème Ardt,Observatoire,750001537,10587.22,29.1
750000014,14,75114,14ème Ardt,Observatoire,750001537,10062.5,29.9
750000014,14,75114,14ème Ardt,Observatoire,750001537,9375.0,31.0
750000004,4,75104,4ème Ardt,Hôtel-de-Ville,750001537,13245.9,29.1
750000004,4,75104,4ème Ardt,Hôtel-de-Ville,750001537,13260.74,29.9
750000004,4,75104,4ème Ardt,Hôtel-de-Ville,750001537,12640.0,31.0
750000005,5,75105,5ème Ardt,Panthéon,750001537,13000.0,29.1
750000005,5,75105,5ème Ardt,Panthéon,750001537,12500.0,29.9
750000005,5,75105,5ème Ardt,Panthéon,750001537,11858.97,31.0
